strategy,season,rounds,points,mean,maximum,mean_changes,mean_expected_cost,better,equal,worse,at_least_18,at_least_20,at_least_22,at_least_24
baseline,2016,34,398,11.705882352941176,20,0.0,0.0,0,34,0,2,1,0,0
baseline,2017,34,422,12.411764705882353,21,0.0,0.0,0,34,0,4,1,0,0
baseline,2018,34,396,11.647058823529411,18,0.0,0.0,0,34,0,3,0,0,0
baseline,2019,34,393,11.558823529411764,20,0.0,0.0,0,34,0,2,1,0,0
baseline,2020,34,396,11.647058823529411,19,0.0,0.0,0,34,0,4,0,0,0
baseline,2021,34,384,11.294117647058824,17,0.0,0.0,0,34,0,0,0,0,0
baseline,2022,34,401,11.794117647058824,23,0.0,0.0,0,34,0,4,3,1,0
baseline,2023,34,428,12.588235294117647,21,0.0,0.0,0,34,0,3,1,0,0
baseline,2024,34,415,12.205882352941176,23,0.0,0.0,0,34,0,5,2,1,0
baseline,2025,34,433,12.735294117647058,21,0.0,0.0,0,34,0,5,3,0,0
full_120,2016,34,427,12.558823529411764,23,3.4705882352941178,,12,12,10,4,2,1,0
full_120,2017,34,385,11.323529411764707,18,4.0,,10,7,17,4,0,0,0
full_120,2018,34,401,11.794117647058824,26,3.735294117647059,,12,10,12,1,1,1,1
full_120,2019,34,380,11.176470588235293,19,3.2058823529411766,,17,5,12,2,0,0,0
full_120,2020,34,369,10.852941176470589,19,3.5294117647058822,,13,4,17,1,0,0,0
full_120,2021,34,427,12.558823529411764,19,3.176470588235294,,16,7,11,2,0,0,0
full_120,2022,34,373,10.970588235294118,19,3.2058823529411766,,10,5,19,2,0,0,0
full_120,2023,34,428,12.588235294117647,22,3.6176470588235294,,12,8,14,6,2,1,0
full_120,2024,34,368,10.823529411764707,25,2.9705882352941178,,10,4,20,3,1,1,1
full_120,2025,34,437,12.852941176470589,22,3.0588235294117645,,13,9,12,6,4,1,0
full_270,2016,34,406,11.941176470588236,24,1.8529411764705883,,8,14,12,3,2,1,1
full_270,2017,34,371,10.911764705882353,18,2.176470588235294,,4,13,17,2,0,0,0
full_270,2018,34,413,12.147058823529411,22,1.911764705882353,,13,14,7,2,1,1,0
full_270,2019,34,391,11.5,22,1.411764705882353,,10,14,10,4,2,1,0
full_270,2020,34,387,11.382352941176471,18,1.7941176470588236,,12,7,15,1,0,0,0
full_270,2021,34,400,11.764705882352942,18,1.8235294117647058,,13,13,8,1,0,0,0
full_270,2022,34,402,11.823529411764707,23,1.5294117647058822,,9,14,11,3,1,1,0
full_270,2023,34,399,11.735294117647058,23,1.8823529411764706,,8,11,15,3,3,1,0
full_270,2024,34,380,11.176470588235293,23,1.7941176470588236,,6,13,15,6,1,1,0
full_270,2025,34,420,12.352941176470589,25,1.6176470588235294,,9,13,12,4,2,2,1
full_90,2016,34,414,12.176470588235293,23,4.0,,15,8,11,4,2,2,0
full_90,2017,34,385,11.323529411764707,19,4.470588235294118,,10,8,16,3,0,0,0
full_90,2018,34,402,11.823529411764707,26,4.176470588235294,,11,10,13,1,1,1,1
full_90,2019,34,389,11.441176470588236,19,3.9705882352941178,,16,2,16,1,0,0,0
full_90,2020,34,371,10.911764705882353,19,4.0588235294117645,,13,2,19,1,0,0,0
full_90,2021,34,427,12.558823529411764,19,3.823529411764706,,18,7,9,3,0,0,0
full_90,2022,34,363,10.676470588235293,18,3.8823529411764706,,10,5,19,2,0,0,0
full_90,2023,34,418,12.294117647058824,22,4.205882352941177,,11,7,16,5,1,1,0
full_90,2024,34,366,10.764705882352942,25,3.2941176470588234,,8,6,20,2,1,1,1
full_90,2025,34,430,12.647058823529411,21,3.3529411764705883,,10,10,14,5,4,0,0
hybrid_120,2016,34,397,11.676470588235293,19,1.3823529411764706,0.4280614098252891,12,12,10,4,0,0,0
hybrid_120,2017,34,386,11.352941176470589,19,1.3823529411764706,0.47264163182815083,4,12,18,3,0,0,0
hybrid_120,2018,34,377,11.088235294117647,22,1.1470588235294117,0.4124149524994117,9,11,14,2,1,1,0
hybrid_120,2019,34,373,10.970588235294118,22,1.3529411764705883,0.4961658766499037,9,11,14,2,1,1,0
hybrid_120,2020,34,372,10.941176470588236,19,1.2058823529411764,0.336222414054839,8,12,14,1,0,0,0
hybrid_120,2021,34,368,10.823529411764707,18,1.411764705882353,0.4977444948418867,10,10,14,1,0,0,0
hybrid_120,2022,34,402,11.823529411764707,20,1.2058823529411764,0.3622613809079182,14,11,9,3,1,0,0
hybrid_120,2023,34,411,12.088235294117647,21,1.2058823529411764,0.46417288489428093,9,11,14,3,2,0,0
hybrid_120,2024,34,386,11.352941176470589,21,1.411764705882353,0.45852280116822713,9,7,18,4,1,0,0
hybrid_120,2025,34,425,12.5,21,1.1764705882352942,0.4230097667490907,8,17,9,5,3,0,0
hybrid_270,2016,34,404,11.882352941176471,20,1.088235294117647,0.37004482657127297,11,15,8,3,1,0,0
hybrid_270,2017,34,407,11.970588235294118,19,0.8529411764705882,0.31548827926820106,4,21,9,3,0,0,0
hybrid_270,2018,34,379,11.147058823529411,18,0.7647058823529411,0.2610673566033311,5,18,11,4,0,0,0
